,change,item,comm_group,group,item_substitute
335,0.048303608,Barley and products,Cereals,Primary crops,"Cereals, Other"
336,0.07026739,Maize and products,Cereals,Primary crops,"Cereals, Other"
337,0.10163415,Oats,Cereals,Primary crops,"Cereals, Other"
338,0.032925017,Rice and products,Cereals,Primary crops,"Cereals, Other"
339,0.10570784,Wheat and products,Cereals,Primary crops,"Cereals, Other"
340,0.110467404,Barley and products,Cereals,Primary crops,Maize and products
341,0.09516804,Millet and products,Cereals,Primary crops,Maize and products
342,0.09156966,Oats,Cereals,Primary crops,Maize and products
343,0.04143053,Rice and products,Cereals,Primary crops,Maize and products
344,0.08284946,Rye and products,Cereals,Primary crops,Maize and products
345,0.13483803,Wheat and products,Cereals,Primary crops,Maize and products
346,0.08927544,Barley and products,Cereals,Primary crops,Millet and products
347,0.06691547,Maize and products,Cereals,Primary crops,Millet and products
348,0.048078973,Oats,Cereals,Primary crops,Millet and products
349,0.09014899,Rice and products,Cereals,Primary crops,Millet and products
350,0.038271524,Wheat and products,Cereals,Primary crops,Millet and products
351,0.0646269,Barley and products,Cereals,Primary crops,Oats
352,0.090815715,Maize and products,Cereals,Primary crops,Oats
353,0.09653347,Rice and products,Cereals,Primary crops,Oats
354,0.17295294,Rye and products,Cereals,Primary crops,Oats
355,0.065705135,Wheat and products,Cereals,Primary crops,Oats
356,0.09914894,Barley and products,Cereals,Primary crops,Rice and products
357,0.11274573,"Cereals, Other",Cereals,Primary crops,Rice and products
358,0.08701997,Maize and products,Cereals,Primary crops,Rice and products
359,0.15128322,Millet and products,Cereals,Primary crops,Rice and products
360,0.0756542,Oats,Cereals,Primary crops,Rice and products
361,0.08301687,Rye and products,Cereals,Primary crops,Rice and products
362,0.07961495,Wheat and products,Cereals,Primary crops,Rice and products
363,0.047392674,Barley and products,Cereals,Primary crops,Rye and products
364,0.15302688,"Cereals, Other",Cereals,Primary crops,Rye and products
365,0.09225919,Millet and products,Cereals,Primary crops,Rye and products
366,0.100716986,Oats,Cereals,Primary crops,Rye and products
367,0.0858851,Rice and products,Cereals,Primary crops,Rye and products
368,0.16836219,Sorghum and products,Cereals,Primary crops,Rye and products
369,0.038520426,Wheat and products,Cereals,Primary crops,Rye and products
370,0.044765454,Barley and products,Cereals,Primary crops,Sorghum and products
371,0.07511365,Maize and products,Cereals,Primary crops,Sorghum and products
372,0.108211234,Oats,Cereals,Primary crops,Sorghum and products
373,0.07390437,Rice and products,Cereals,Primary crops,Sorghum and products
374,0.15452027,Rye and products,Cereals,Primary crops,Sorghum and products
375,0.06982095,Wheat and products,Cereals,Primary crops,Sorghum and products
376,0.08150559,Barley and products,Cereals,Primary crops,Wheat and products
377,0.103638895,Maize and products,Cereals,Primary crops,Wheat and products
378,0.06944257,Oats,Cereals,Primary crops,Wheat and products
379,0.12736809,Rice and products,Cereals,Primary crops,Wheat and products
380,0.059296425,Sorghum and products,Cereals,Primary crops,Wheat and products
422,0.18142179,"Cereals, Other",Cereals,Primary crops,Barley and products
423,0.07321375,Maize and products,Cereals,Primary crops,Barley and products
424,0.08877914,Millet and products,Cereals,Primary crops,Barley and products
425,0.12383978,Oats,Cereals,Primary crops,Barley and products
426,0.10182382,Rice and products,Cereals,Primary crops,Barley and products
427,0.087394804,Sorghum and products,Cereals,Primary crops,Barley and products
428,0.083256066,Wheat and products,Cereals,Primary crops,Barley and products
