area_import,loss_no_comp,loss_comp
Tunisia,122.46411774238655,181.89328917548258
Lebanon,108.24671233755096,96.76537130268008
Libya,92.08855172605351,187.50647688200377
Republic of Moldova,53.917511677001116,52.098997641780954
Israel,41.390937240612786,37.90206278467309
Egypt,39.58430936205086,38.10500631169726
Morocco,36.75411408815807,31.506873628336088
Turkey,33.386976912949116,28.358494840216164
Pakistan,32.009895930627714,30.37204046537205
Yemen,25.571055852785605,23.138603437233574
Spain,24.869420988071777,20.216206783983534
Qatar,22.93466410106426,19.289622881279033
Iraq,19.019847647630375,16.080017923680312
Greece,18.119001049047746,9.32859280725843
Mauritania,16.23634173395576,14.130549613889277
Albania,14.531370006093452,11.469547407368223
Jordan,14.201935914038494,10.991638243196384
Malaysia,13.008006324445986,11.306551254157565
Belarus,12.80848246224257,11.290075355228726
Indonesia,11.78911516422154,28.017525562666506
Djibouti,10.522095350197908,6.686506977707849
Bangladesh,10.497741706012508,8.804884807596453
Syrian Arab Republic,10.405066748958767,8.993792090431917
United Arab Emirates,10.301673028915328,5.465409676742113
Somalia,9.85281511654223,8.38286167987192
Republic of Korea,9.816494056807304,7.2006906375471145
Eritrea,9.350516142390711,9.074469572740416
Ethiopia,9.272029279458215,6.315771164653921
Italy,8.942912017166828,2.0365809470948917
Thailand,8.654625013216068,6.192562079369916
Oman,7.733522062040298,3.5157826835808006
Philippines,6.775869763962503,4.448231992496574
Maldives,6.744570370827918,4.129846348124215
Netherlands,5.773263474475911,5.682655043865303
Romania,5.172294531716893,-1.4477473250839916
Timor-Leste,5.117514494249507,-62.216308249076
Sri Lanka,4.976538582515594,2.3713578056070928
Denmark,4.923148925663533,4.5509962685219865
Zimbabwe,4.7838605928463815,4.390243363838507
Belgium,4.298729770903893,2.874559963799369
New Caledonia,4.144671432580113,3.333042870077659
Eswatini,3.8910498833095626,2.2213808886772513
Portugal,3.8902274591547026,1.0438314146296845
Latvia,3.667357335727872,1.9589049715619478
Georgia,3.6599399378744977,0.7029875767617924
Sudan,3.6142985251988633,2.3547203833098673
Mozambique,3.4007355864334854,2.246977481626062
RoW,3.2634051509253466,3.0503462117778617
Saudi Arabia,3.2327212716577183,1.367613706173462
Germany,3.0863672595772833,1.6693909146454584
